Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
,Acts 12:24--13:5,"Psalms 67:2-3, 5-6, 8",,5/10/2017,John 12:44-50,"St. Damien de Veuster (of Molokai), Priest (Optional Memorial)"
,Acts 13:13-25,"Psalms 89:2-3, 21-22, 25, 27",,5/11/2017,John 13:16-20,"St. Ignatius of Laconi, Religious (Memorial)"
,Acts 13:26-33,Psalms 2:6-11,,5/12/2017,John 14:1-6,"St. Leopold Mandic, Capuchin, Priest (Memorial)"
,Acts 13:44-52,Psalms 98:1-4,,5/13/2017,John 14:7-14,Our Lady of Fatima (Optional Memorial)
,Acts 6:1-7,"Psalms 33:1-2, 4-5, 18-19",1 Peter 2:4-9,5/14/2017,John 14:1-12,Fifth Sunday of Easter
,Acts 14:5-18,"Psalms 115:1-4, 15-16",,5/15/2017,John 14:21-26,Saint Isidore the Farmer (Optional Memorial)
,Acts 14:19-28,"Psalms 145:10-13, 21",,5/16/2017,John 14:27-31,"St. Margaret of Cortona, III Order (Memorial)"
,Acts 15:1-6,Psalms 122:1-5,,5/17/2017,John 15:1-8,"St. Paschal Baylon, OFM, Religious (Memorial)"
,Acts 2:44-47,Colossians 3:12-17,,5/18/2017,Psalms 131:1-3,"St. Felix Porri of Cantalice, Capuchin, Religious (Feast)"
,Acts 15:22-31,"Psalms 57:8-10, 12",,5/19/2017,John 15:12-17,"St. Crispin of Viterbo, Religious (Memorial)"
,Acts 16:1-10,"Psalms 100:1-3, 5",,5/20/2017,John 15:18-21,"St. Bernardine of Siena, OFM Priest (Memorial)"
,"Acts 8:5-8, 14-17","Psalms 66:1-7, 16, 20",1 Peter 3:15-18,5/21/2017,John 14:15-21,Sixth Sunday of Easter
,Acts 16:11-15,"Psalms 149:1-6, 9",,5/22/2017,John 15:26--16:4,"St. Rita of Cascia, Religious (Optional Memorial)"
,Acts 16:22-34,"Psalms 138:1-3, 7-8",,5/23/2017,John 16:5-11,Easter Weekday
,Revelation 21:1-5,Psalms 95:1-7,,5/24/2017,John 10:22-30,Dedication of the Basilica of Saint Francis of Assisi (Feast)
,Acts 18:1-8,Psalms 98:1-4,,5/25/2017,John 16:16-20,Easter Weekday
,Acts 18:9-18,Psalms 47:2-7,,5/26/2017,John 16:20-23,"St. Philip Neri, Priest (Memorial)"
,Acts 18:23-28,"Psalms 47:2-3, 8-10",,5/27/2017,John 16:23-28,Easter Weekday
,Acts 1:1-11,"Psalms 47:2-3, 6-9",Ephesians 1:17-23,5/28/2017,Matthew 28:16-20,The Ascension of the Lord (Solemnity)
,Acts 19:1-8,Psalms 68:2-7,,5/29/2017,John 16:29-33,Memorial Day
,Acts 20:17-27,"Psalms 68:10-11, 20-21",,5/30/2017,John 17:1-11,"St. Joan of Arc, Virgin, Martyr (Optional Memorial)"
,Zephaniah 3:14-18,Romans 12:9-16,,5/31/2017,Isaiah 12:2-6,The Visitation of the Blessed Virgin Mary (Feast)
,Acts 22:30; 23:6-11,"Psalms 16:1-2, 5, 7-11",,6/1/2017,John 17:20-26,"St. Justin, Martyr (Memorial)"
,Acts 25:13-21,"Psalms 103:1-2, 11-12, 19-20",,6/2/2017,John 21:15-19,Easter Weekday
,"Acts 28:16-20, 30-31","Psalms 11:4-5, 7",,6/3/2017,John 21:20-25,"Sts. Charles Lwanga and Companions, Martyrs (Memorial)"
,Acts 2:1-11,"Psalms 104:1, 24, 29-31, 34","1 Corinthians 12:3-7, 12-13",6/4/2017,John 20:19-23,Pentecost Sunday (Solemnity)
,Tobit 1:3; 2:1-8,Psalms 112:1-6,,6/5/2017,Mark 12:1-12,"St. Boniface, Bishop, Martyr (Memorial)"
,Tobit 2:9-14,"Psalms 112:1-2, 7-9",,6/6/2017,Mark 12:13-17,Weekday
,"Tobit 3:1-11, 16-17",Psalms 25:2-9,,6/7/2017,Mark 12:18-27,Weekday
,"Tobit 6:10-11; 7:1, 9-17; 8:4-9",Psalms 128:1-5,,6/8/2017,Mark 12:28-34,Weekday
,Tobit 11:5-17,"Psalms 146:1-2, 6-10",,6/9/2017,Mark 12:35-37,Weekday
,"Tobit 12:1, 5-15, 20","Tobit 13:2, 6-8",,6/10/2017,Mark 12:38-44,Saturday Memorial of the Blessed Virgin Mary
,"Exodus 34:4-6, 8-9",Daniel 3:52-55,2 Corinthians 13:11-13,6/11/2017,John 3:16-18,The Most Holy Trinity (Solemnity)
,2 Corinthians 1:1-7,Psalms 34:2-9,,6/12/2017,Matthew 5:1-12,Weekday
,Wisdom 7:7-14,"Ephesians 4:7, 11-15",,6/13/2017,"Psalms 40:3-4, 10-11, 17","St. Anthony of Padua, OFM, Priest, Doctor of the Church (Feast)"
,2 Corinthians 3:4-11,Psalms 99:5-9,,6/14/2017,Matthew 5:17-19,Weekday
,"2 Corinthians 3:15--4:1, 3-6",Psalms 85:9-14,,6/15/2017,Matthew 5:20-26,Weekday
,2 Corinthians 4:7-15,"Psalms 116:10-11, 15-18",,6/16/2017,Matthew 5:27-32,Weekday
,2 Corinthians 5:14-21,"Psalms 103:1-4, 9-12",,6/17/2017,Matthew 5:33-37,Saturday Memorial of the Blessed Virgin Mary
,"Deuteronomy 8:2-3, 14-16","Psalms 147:12-15, 19-20",1 Corinthians 10:16-17,6/18/2017,John 6:51-58,The Most Holy Body and Blood of Christ (Solemnity)
,2 Corinthians 6:1-10,Psalms 98:1-4,,6/19/2017,Matthew 5:38-42,Weekday
,2 Corinthians 8:1-9,"Psalms 146:2, 5-9",,6/20/2017,Matthew 5:43-48,Weekday
,2 Corinthians 9:6-11,"Psalms 112:1-4, 9",,6/21/2017,"Matthew 6:1-6, 16-18","St. Aloysius Gonzaga, Religious (Memorial)"
,2 Corinthians 11:1-11,"Psalms 111:1-4, 7-8",,6/22/2017,Matthew 6:7-15,"Saints John Fisher, Bishop, Martyr and Thomas More, Martyr (Optional Memorial)"
,Deuteronomy 7:6-11,"Psalms 103:1-4, 6-7, 8, 10",1 John 4:7-16,6/23/2017,Matthew 11:25-30,The Solemnity of the Most Sacred Heart of Jesus
,Isaiah 49:1-6,"Psalms 139:1-3, 13-15",Acts 13:22-26,6/24/2017,"Luke 1:57-66, 80",The Nativity of St. John the Baptist (Solemnity)
,Jeremiah 20:10-13,"Psalms 69:8-10, 14, 17, 33-35",Romans 5:12-15,6/25/2017,Matthew 10:26-33,Twelfth Sunday in Ordinary Time
,Genesis 12:1-9,"Psalms 33:12-13, 18-20, 22",,6/26/2017,Matthew 7:1-5,"St. Josemaria Escriva de Balaguer, Priest (Optional Memorial)"
,"Genesis 13:2, 5-18",Psalms 15:2-5,,6/27/2017,"Matthew 7:6, 12-14",Weekday
,"Genesis 15:1-12, 17-18","Psalms 105:1-4, 6-9",,6/28/2017,Matthew 7:15-20,"St. Irenaeus, Bishop, Martyr (Memorial)"
,Acts 12:1-11,Psalms 34:2-9,"2 Timothy 4:6-8, 17-18",6/29/2017,Matthew 16:13-19,"Saints Peter and Paul, Apostles (Solemnity)"
,"Genesis 17:1, 9-10, 15-22",Psalms 128:1-5,,6/30/2017,Matthew 8:1-4,The First Martyrs of Holy Roman Church (Optional Memorial)
,Genesis 18:1-15,"Luke 1:46-50, 53-55",,7/1/2017,Matthew 8:5-17,"St. Junipero Serra, OFM, Priest (Optional Memorial)"
,"2 Kings 4:8-11, 14-16","Psalms 89:2-3, 16-19","Romans 6:3-4, 8-11",7/2/2017,Matthew 10:37-42,Thirteenth Sunday in Ordinary Time
,Ephesians 2:19-22,Psalms 117:1-2,,7/3/2017,John 20:24-29,"St. Thomas, Apostle (Feast)"
,Isaiah 58:6-11,Psalms 107:2-9,,7/4/2017,Matthew 25:31-46,Independence Day
