Acclamation,FirstReading,Psalm,SecondReading,Date,Gospel,Day
Matthew 4:17,Hosea 14:2-10,"Psalms 81:6-11, 14, 17",,2017-03-24,Mark 12:28-34,Lenten Weekday
John 1:14,Isaiah 7:10-14; 8:10,Psalms 40:7-11,Hebrews 10:4-10,2017-03-25,Luke 1:26-38,The Annunciation of the Lord (Solemnity)
John 8:12,"1 Samuel 16:1, 6-7, 10-13",Psalms 23:1-6,Ephesians 5:8-14,2017-03-26,John 9:1-41,Fourth Sunday of Lent
Amos 5:14,Wisdom 3:1-9,Psalms 23:1-6,1 John 3:1-2,2017-03-27,John 6:51-58,One Year Anniversary of Mother Angelica's death
"Psalms 51:12, 14","Ezekiel 47:1-9, 12","Psalms 46:2-3, 5-6, 8-9",,2017-03-28,John 5:1-16,Lenten Weekday
"John 11:25, 26",Isaiah 49:8-15,"Psalms 145:8-9, 13-14, 17-18",,2017-03-29,John 5:17-30,Lenten Weekday
John 3:16,Exodus 32:7-14,Psalms 106:19-23,,2017-03-30,John 5:31-47,Lenten Weekday
Matthew 4:4,"Wisdom 2:1, 12-22","Psalms 34:17-21, 23",,2017-03-31,"John 7:1-2, 10, 25-30",Lenten Weekday
Luke 8:15,Jeremiah 11:18-20,"Psalms 7:2-3, 9-12",,2017-04-01,John 7:40-53,Lenten Weekday
"John 11:25, 26",Ezekiel 37:12-14,Psalms 130:1-8,Romans 8:8-11,2017-04-02,John 11:1-45,Fifth Sunday of Lent
Ezekiel 33:11,"Daniel 13:1-9, 15-17, 19-30, 33-62",Daniel 13:41-62,,2017-04-03,Psalms 23:1-6,Lenten Weekday
,Numbers 21:4-9,"Psalms 102:2-3, 16-21",,2017-04-04,John 8:21-30,Lenten Weekday
Luke 8:15,"Daniel 3:14-20, 91-92, 95",Daniel 3:52-56,,2017-04-05,John 8:31-42,Lenten Weekday
Psalms 95:8,Genesis 17:3-9,Psalms 105:4-9,,2017-04-06,John 8:51-59,Lenten Weekday
"John 6:63, 68",Jeremiah 20:10-13,Psalms 18:2-7,,2017-04-07,John 10:31-42,"St. John Baptist de la Salle, Priest (Memorial)"
Ezekiel 18:31,Ezekiel 37:21-28,Jeremiah 31:10-13,,2017-04-08,John 11:45-56,Lenten Weekday
Philippians 2:8-9,Isaiah 50:4-7,"Psalms 22:8-9, 17-20, 23-24",Philippians 2:6-11,2017-04-09,Matthew 26:14--27:66,Palm Sunday of the Lord's Passion
,Isaiah 42:1-7,"Psalms 27:1-3, 13-14",,2017-04-10,John 12:1-11,Monday of Holy Week
