Acclamation,SecondReading,Psalm,FirstReading,Date,Gospel,Day
Lk 4:18,,"Ps 96:1, 3, 4-5, 11-12, 13",1 Thes 4:13-18,4-Sep-17,Lk 4:16-30,Monday of the Twenty-second Week in Ordinary Time
Lk 7:16,,"Ps 27:1, 4, 13-14","1 Thes 5:1-6, 9-11",5-Sep-17,Lk 4:31-37,Tuesday of the Twenty-second Week in Ordinary Time
Lk 4:18,,"Ps 52:10, 11",Col1:1-8,6-Sep-17,Lk 4:38-44,Wednesday of the Twenty-second Week in Ordinary Time
Mt 4:19,,"Ps 98:2-3ab, 3cd-4, 5-6",Col 1:9-14,7-Sep-17,Lk 5:1-11,Thursday of the Twenty-second Week in Ordinary Time
,,"Ps 13:6ab, 6c",Mi 5:1-4a,8-Sep-17,"Mt 1:1-16, 18-23",Feast of the Nativity of the Blessed Virgin April
Jn 14:6,,"Ps 54:3-4, 6, 8",Col1:21-23,9-Sep-17,Lk 6:1-5,"Memorial of Saint Peter Claver, Priest"
2 Cor 5:19,Rom 13:8-10,"Ps 95:1-2, 6-7, 8-9",Ez 33:7-9,10-Sep-17,Mt 18:15-20,Twenty-third Sunday in Ordinary Time
Jn 10:27,,"Ps 62:6-7, 9",Col1:24-2:3,11-Sep-17,Lk 6:6-11,Monday of the Twenty-third Week in Ordinary Time
Jn 15:16,,"Ps 145:1b-2, 8-9, 10-11",Col 2:6-15,12-Sep-17,Lk 6:12-19,Tuesday of the Twenty-third Week in Ordinary Time
Lk 6:23ab,,"Ps 145:2-3, 10-11, 12-13ab",Col 3:1-11,13-Sep-17,Lk 6:20-26,"Memorial of Saint John Chrysostom, Bishop, Doctor of the Church"
,Phil 2:6-11,"Ps 78:1bc-2, 34-35, 36-37, 38",Nm 21:4b-9,14-Sep-17,Jn 3:13-17,Feast of the Exaltation of the Holy Cross
,,"Ps 16:1b-2a, 5, 7-8, 11","1 Tm 1:1-2, 12-14",15-Sep-17,Jn 19:25-27,Memorial of Our Lady of Sorrows
Jn 14:23,,"Ps 113:1b-2, 3-4, 5, 6-7",1 Tm 1:15-17,16-Sep-17,Lk 6:43-49,"Memorial of Saints Cornelius, Pope,, April   , Bishop, Martyrs"
Jn 13:34,Rom 14:7-9,"Ps 103:1-2, 3-4, 9-10, 11-12",Sir 27:30-28:7,17-Sep-17,Mt 18:21-35,Twenty-fourth Sunday in Ordinary Time
Jn 3:16,,"Ps 28:2, 7, 8-9",1 Tm 2:1-8,18-Sep-17,Lk 7:1-10,Monday of the Twenty-fourth Week in Ordinary Time
Lk 7:16,,"Ps 101:1b-2ab, 2cd-3ab, 5, 6",1 Tm 3:1-13,19-Sep-17,Lk 7:11-17,Tuesday of the Twenty-fourth Week in Ordinary Time
"Jn 6:63c, 68c",,"Ps 111:1-2, 3-4, 5-6",1 Tm 3:14-16,20-Sep-17,Lk 7:31-35,"Memorial of Saints,rew Kim Tae-gŏn, Priest,, April Chŏng Ha-sang,, Companions, Martyrs"
,,"Ps 19:2-3, 4-5","Eph 4:1-7, 11-13",21-Sep-17,Mt 9:9-13,"Feast of Saint Matthew, Apostle, evangelist"
Mt 11:25,,"Ps 49:6-7, 8-10, 17-18, 19-20",1 Tm 6:2c-12,22-Sep-17,Lk 8:1-3,Friday of the Twenty-fourth Week in Ordinary Time
Lk 8:15,,"Ps 100:1b-2, 3, 4, 5",1 Tm 6:13-16,23-Sep-17,Lk 8:4-15,"Memorial of Saint Pius of Pietrelcina, Priest"
Acts 16:14b,"Phil 1:20c-24, 27a","Ps 145:2-3, 8-9, 17-18",Is 55:6-9,24-Sep-17,Mt 20:1-16a,Twenty-fifth Sunday in Ordinary Time
Mt 5:16,,"Ps 126:1b-2ab, 2cd-3, 4-5, 6",Ez 1:1-6,25-Sep-17,Lk 8:16-18,Monday of the Twenty-fifth Week in Ordinary Time
Lk 11:28,,"Ps 122:1-2, 3-4ab, 4cd-5","Ezr 6:7-8, 12b, 14-20",26-Sep-17,Lk 8:19-21,Tuesday of the Twenty-fifth Week in Ordinary Time
Mk 1:15,,"Tobit 13:2, 3-4a, 4befghn, 7-8",Ez 9:5-9,27-Sep-17,Lk 9:1-6,"Memorial of Saint Vincent de April   , Priest"
Jn 14:6,,"Ps 149:1b-2, 3-4, 5-6a, 9b",Hg 1:1-8,28-Sep-17,Lk 9:7-9,Thursday of the Twenty-fifth Week in Ordinary Time
Ps 103:21,,"Ps 138:1-2ab, 2cde-3, 4-5","Dn 7:9-10, 13-14",29-Sep-17,Jn 1:47-51,"Feast of Saints Michael, April   ,, April   , archangels"
2 Tm 1:10,,"Jer 31:10, 11-12ab, 13","Zec 2:5-9, 14-15a",30-Sep-17,Lk 9:43b-45,"Memorial of Saint Jerome, Priest, Doctor of the Church"
,Phil 2:1-11,"Ps 25:4-5, 8-9, 10, 14",Ez 18:25-28,1-Oct-17,Mt 21:28-32,Twenty-sixth Sunday in Ordinary Time
Ps 103:21,,"Ps 102:16-18, 19-21, 29, 22-23",Zec 8:1-8,2-Oct-17,"Mt 18:1-5, 10",Memorial of the Guardian Angels
Mk 10:45,,"Ps 87:1b-3, 4-5, 6-7",Zec 8:20-23,3-Oct-17,Lk 9:51-56,Tuesday of the Twenty-sixth Week in Ordinary Time
Phil 3:8-9,,"Ps 137:1-2, 3, 4-5, 6",Neh 2:1-8,4-Oct-17,Lk 9:57-62,Memorial of Saint Francis of Assisi
Mk 1:15,,"Ps 19:8, 9, 10, 11","Neh 8:1-4a, 5-6, 7b-12",5-Oct-17,Lk 10:1-12,Thursday of the Twenty-sixth Week in Ordinary Time
Ps 95:8,,"Ps 79:1b-2, 3-5, 8, 9",Bar 1:15-22,6-Oct-17,Lk 10:13-16,Friday of the Twenty-sixth Week in Ordinary Time
Mt 11:25,,"Ps 69:33-35, 36-37","Bar 4:5-12, 27-29",7-Oct-17,Lk 10:17-24,Memorial of Our Lady of the Rosary
Jn 15:16,Phil 4:6-9,"Ps 80:9, 12, 13-14, 15-16, 19-20",Is 5:1-7,8-Oct-17,Mt 21:33-43,Twenty-seventh Sunday in Ordinary Time
Jn 13:34,,"Jonah 2:3, 4, 5, 8","Jon 1:1-2:1-2, 11",9-Oct-17,Lk 10:25-37,Monday of the Twenty-seventh Week in Ordinary Time
Lk 11:28,,"Ps 130:1b-2, 3-4ab, 7-8",Jon 3:1-10,10-Oct-17,Lk 10:38-42,Tuesday of the Twenty-seventh Week in Ordinary Time
Rom 8:15bc,,"Ps 86:3-4, 5-6, 9-10",Jon 4:1-11,11-Oct-17,Lk 11:1-4,Wednesday of the Twenty-seventh Week in Ordinary Time
Acts 16:14b,,"Ps 1:1-2, 3, 4, 6",Mal 3:13-20b,12-Oct-17,Lk 11:5-13,Thursday of the Twenty-seventh Week in Ordinary Time
Jn 12:31b-32,,"Ps 9:2-3, 6, 16, 8-9",Jl 1:13-15; 2:1-2,13-Oct-17,Lk 11:15-26,Friday of the Twenty-seventh Week in Ordinary Time
Lk 11:28,,"Ps 97:1-2, 5-6, 11-12",Jl 4:12-21,14-Oct-17,Lk 11:27-28,Saturday of the Twenty-seventh Week in Ordinary Time
Eph 1:17-18,"Phil 4:12-14, 19-20","Ps 23:1-3a, 3b-4, 5, 6",Is 25:6-10a,15-Oct-17,Mt 22:1-14,Twenty-eighth Sunday in Ordinary Time
Ps 95:8,,"Ps 98:1bcde, 2-3ab, 3cd-4",Rom 1:1-7,16-Oct-17,Lk 11:29-32,Monday of the Twenty-eighth Week in Ordinary Time
Heb 4:12,,"Ps 19:2-3, 4-5",Rom 1:16-25,17-Oct-17,Lk 11:37-41,"Memorial of Saint Ignatius of Antioch, Bishop, Martyr"
Jn 15:16,,"Ps 145:10-11, 12-13, 17-18",2 Tm 4:10-17b,18-Oct-17,Lk 10:1-9,"Feast of Saint Luke, evangelist"
Jn 14:6,,"Ps 130:1b-2, 3-4, 5-6ab",Rom 3:21-30,19-Oct-17,Lk 11:47-54,"Memorial of Saints John de Brebeuf, Isaac Jogues, Priests, Companions, Martyrs"
Ps 33:22,,"Ps 32:1b-2, 5, 11",Rom 4:1-8,20-Oct-17,Lk 12:1-7,Friday of the Twenty-eighth Week in Ordinary Time
