Acclamation,SecondReading,Psalm,FirstReading,Date,Gospel,Day
,,"Ps 71:3-4a, 5-6ab, 16-17","Jgs 13:2-7, 24-25a",19-Dec-17,Lk 1:5-25,Tuesday of the Third Week of Advent
,,"Ps 24:1-2, 3-4ab, 5-6",Is 7:10-14,20-Dec-17,Lk 1:26-38,Wednesday of the Third Week of Advent
,,"Ps 33:2-3, 11-12, 20-21",Sg 2:8-14,21-Dec-17,Lk 1:39-45,Thursday of the Third Week of Advent
,,"1 Samuel 2:1, 4-5, 6-7, 8abcd",1 Sm 1:24-28,22-Dec-17,Lk 1:46-56,Friday of the Third Week of Advent
,,"Ps 25:4-5ab, 8-9, 10, 14","Mal 3:1-4, 23-24",23-Dec-17,Lk 1:57-66,Saturday of the Third Week of Advent
Lk 1:38,Rom 16:25-27,"Ps 89:2-3, 4-5, 27, 29","2 Sm 7:1-5, 8b-12, 14a, 16",24-Dec-17,Lk 1:26-38,Fourth Sunday of Advent
,Heb 1:1-6,"Ps 98:1, 2-3, 3-4, 5-6",Is 52:7-10,25-Dec-17,Jn 1:1-18,The Nativity of the Lord (Day Time)
Lk 2:10-11,Ti 2:11-14,"Ps 96: 1-2, 2-3, 11-12, 13",Is 9:1-6,25-Dec-17,Lk 2:1-14,The Nativity of the Lord (Midnight)
"Ps 118:26a, 27a",,"Ps 31:3cd-4, 6, 8ab, 16bc, 17",Acts 6:8-10; 7:54-59,26-Dec-17,Mt 10:17-22,"Feast of Saint Stephen, first martyr"
,,"Ps 97:1-2, 5-6, 11-12",1 Jn 1:1-4,27-Dec-17,"Jn 20:1a, 2-8","Feast of Saint John, Apostle, evangelist"
,,"Ps 124:2-3, 4-5, 7cd-8",1 Jn 1:5-2:2,28-Dec-17,Mt 2:13-18,"Feast of the Holy Innocents, martyrs"
Lk 2:32,,"Ps 96:1-2a, 2b-3, 5b-6",1 Jn 2:3-11,29-Dec-17,Lk 2:22-35,The Fifth Day in the Octave of Christmas
,,"Ps 96:7-8a, 8b-9, 10",1 Jn 2:12-17,30-Dec-17,Lk 2:36-40,The Sixth Day in the Octave of Christmas
"Col 3:15a, 16a",Col 3:12-21,"Ps 128:1-2, 3, 4-5","Sir 3:2-6, 12-14",31-Dec-17,Lk 2:22-40,The Holy Family
